id,Label,Controllable,Cost
"id=""0""","label=""B1_FIN_A""",,1.0
"id=""1""","label=""B1_FIN_A_END""","controllable=""false""",45.0
"id=""2""","label=""B1_FIN_B""",,1.0
"id=""3""","label=""B1_FIN_B_END""","controllable=""false""",30.0
"id=""4""","label=""B1_MAINTENANCE""","controllable=""false""",20.0
"id=""5""","label=""B1_POINT_OF_INTEREST_FIN_A""","controllable=""false""",50.0
"id=""6""","label=""B1_POINT_OF_INTEREST_FIN_B""","controllable=""false""",35.0
"id=""7""","label=""B1_POINT_OF_INTEREST_PRE_A""","controllable=""false""",30.0
"id=""8""","label=""B1_POINT_OF_INTEREST_PRE_B""","controllable=""false""",15.0
"id=""9""","label=""B1_PRE""",,1.0
"id=""10""","label=""B1_PREPARATION_A""",,1.0
"id=""11""","label=""B1_PREPARATION_B""",,1.0
"id=""12""","label=""B1_PRE_A""",,1.0
"id=""13""","label=""B1_PRE_B""",,1.0
"id=""14""","label=""B1_PRE_END""","controllable=""false""",10.0
"id=""15""","label=""B1_STOP""",,1.0
"id=""16""","label=""B1_STOP_END""","controllable=""false""",8.0
"id=""17""","label=""B1_SUPPORT""",,1.0
"id=""18""","label=""B1_SUPPORT_END""","controllable=""false""",10.0
"id=""19""","label=""B2_FIN_A""",,1.0
"id=""20""","label=""B2_FIN_A_END""","controllable=""false""",45.0
"id=""21""","label=""B2_FIN_B""",,1.0
"id=""22""","label=""B2_FIN_B_END""","controllable=""false""",30.0
"id=""23""","label=""B2_MAINTENANCE""","controllable=""false""",20.0
"id=""24""","label=""B2_POINT_OF_INTEREST_FIN_A""","controllable=""false""",50.0
"id=""25""","label=""B2_POINT_OF_INTEREST_FIN_B""","controllable=""false""",35.0
"id=""26""","label=""B2_POINT_OF_INTEREST_PRE_A""","controllable=""false""",30.0
"id=""27""","label=""B2_POINT_OF_INTEREST_PRE_B""","controllable=""false""",15.0
"id=""28""","label=""B2_PRE""",,1.0
"id=""29""","label=""B2_PREPARATION_A""",,1.0
"id=""30""","label=""B2_PREPARATION_B""",,1.0
"id=""31""","label=""B2_PRE_A""",,1.0
"id=""32""","label=""B2_PRE_B""",,1.0
"id=""33""","label=""B2_PRE_END""","controllable=""false""",10.0
"id=""34""","label=""B2_STOP""",,1.0
"id=""35""","label=""B2_STOP_END""","controllable=""false""",8.0
"id=""36""","label=""B2_SUPPORT""",,1.0
"id=""37""","label=""B2_SUPPORT_END""","controllable=""false""",10.0
